song_number,song_title,song_lyrics
101,الله قوة لنا,"الله قوة لنا
وحمانا الوطيدُ
في الضيق عون قادر
ونصيرٌ شديدُ
فلذا لسنا نجزع
والقلبُ لا يفزع
ولماذا نُزعزع
والرب معين
الأرض إن تزحزحت
ودهتها المخاطر
أو قـُلِبَت جبالها
فلنا الرب ناصر
فلذا لسنا نجزع
والقلب لا يفزع
ولماذا نزعزع
والرب معين
الرب وسط شعبه
ومعين الكنيسة
تفرحُها من فيضِهِ
بركاتٌ نفيسه
فلذا لسنا نجزع
والقلب لا يفزع
ولماذا نزعزع
والرب معين
عظيمٌ الرب العلي
متعال مجيدُ
للدهر معنا حصننا
وحمانا الوطيدُ
فلذا لسنا نجزع
والقلب لا يفزع
ولماذا نزعزع
والرب معين"
102,يا نفس ماذا لي هنا,"102
مقام:
ميزان:
نظم: (8)
يا نفس ماذا لي هنا
فإنني ضيف غريب
فليس في الأرض هنا
وليس لي فيها نصيب
لكني دوما أبتغي
أني أشاهد الحبيب
فتلك هي منيتي
وهذا لي نعم النصيب
فهو النصيب الصالح
ومن يدي لا ينزع
لنفسي قد اخترته
وبه قلبي يشبع
وحين ينتهي الزمان
وأسكن دار الخلود
أروي ظما شوقي إذا
هناك مع ذاك الودود
الكلمات:
الناظم:
اللحن:"
103,جمال ربنا بهي,"103
مقام:
ميزان:
نظم: (8)
جمال ربنا بهي
أبرع من بني البشر
ومثل تفاح شهي
ما بين أشجار الوعر
وفيه راحة لنا
في ظله يحلو الجلوس
أثماره لذتنا
حضوره يروي النفوس
واسمه دهن مهرق
وأطيب من كل طيب
إنه يسوع الحبيب
واسمه حلو وعجيب
ومعلم في ربوة
وفيه أعجب الصفات
وحلقه حلاوة
وكله مشتهيات
فذلك الشخص العجيب
هو عريسنا الوحيد
وسنزف عن قريب
له في عرسه المجيد
الكلمات:
الناظم:
اللحن:"
104,يسوع ربي احمد,"104
مقام:
ميزان:
نظم: (8)
يسوع ربي أحمد
ولاسمه أسبح
نشيدي لذة له
وأنا به أفرح
أغني له كل حين
ما دمت أنا في الوجود
إنه سيدي الأمين
وهو الحبيب والودود
فهو في شخصه عجيب
كذا في حبه فريد
إذ قد فداني بالصليب
يا له من حب شديد
فكل ديني قد وفى
والعدل هكذا اكتفى
وفيه لي كل اكتفا
فهو نصيبي وكفى
الكلمات:
الناظم:
اللحن:"
105,هلم نهد سبحنا,"105
مقام:
ميزان:
نظم: (8)
هلم نهد سبحنا
لاسم المسيح ربنا
فهو الذي أحبنا
وقد فدى نفوسنا
وهو سرور الآب من
قبل وجود العالمين
عنده كان صانعا،
لذته في كل حين
لكن إلى أعماق
الأرض نزل بعد الممات
وقام أيضا صاعدا
فوق جميع السماوات
فالآن صرنا قديسين
وبل لوم في الحبيب
إذ قد وفى ديوننا
جميعها على الصليب
والآب قد باركنا
فيه بكل البركات
وباسمه أيضا ننال
كل العطايا والهبات
الكلمات:
الناظم:
اللحن:"
106,يا أيها الراعي العظيم,"106
مقام:
ميزان:
نظم: (8)
يا أيها الراعي العظيم
ربنا يسوع المسيح
نهديك حمدا لائقا
مع السجود والمديح
طهرتنا قدستنا
أنقذتنا من ذلنا
أكرمتنا أرحتنا
بعد الهوان والعنا
بنفسك معنا تسير
والظلمة لنا تنير
فالشكر نهدي يا قدير
لأنك نعم النصير
أفكارك صالحة
من نحونا على الدوام
أعمالك عجيبة
تفرح إلى التمام
منك الطعام ننتظر
والبركات تنهمر
على الأعادي ننتصر
وبك دوما نفتخر
وعن قريب يا حبيب
نفارق دار النحيب
وتمسح دموعنا
قلوبنا بك تطيب
الكلمات:
الناظم:
اللحن:"
107,إله كل نعمة,"107
مقام:
ميزان:
نظم: (8و6)
إله كل نعمة
نشكر كل حين
ونخبر بفضلك
وحبك الثمين
أفضالك لنا بدت
في ربنا الحبيب
دعوتنا لمجدك
ونورك العجيب
صرنا عروسا لابنك
بالحق والصدق
نحن الذين تهنا في
مفارق الطرق
قد كنا قبلا في الخطا
والشر والظلام
في ابنك قد أعطيتنا
التبرير والسلام
فيا لها من دعوة
سامية المقام
فيها لنا كل الغنى
والمجد والسلام
وكل ذا بالنعمة
إلهنا الأمين
فالحمد نهدي لاسمك
والمجد كل حين
الكلمات:
الناظم:
اللحن:"
108,اَمين تعالى يا اَمين تعالى يا إلهي,"يا رب إنني غريب ..
في طريقي للديار
فمتى تأتي حبيبي؟ ..
(طال وقت الانتظار)2
آمين تعال يا حبيبي
آمين تعال يا يسوع
(كوعدك آمين تعال ..
يا أيها الرب يسوع)2
ستأتي ربي عن قريب
لاختطاف شعبك
قلبهم تاق إليك
والعيون نحوك
آمين تعال يا حبيبي
آمين تعال يا يسوع
(كوعدك آمين تعال ..
يا أيها الرب يسوع)2"
109,لست من شر أخاف,"يا مُخلِّصي اصحَبنِّي
كُن لِي دَومًا مُرشِدًا
بِيَمِينِكَ احرُسَنِّي
كَي لا أخشَى أحَدًا
لستُ مِن شرٍّ أخافُ
فاهدِني حيثُ تُرِيد
(بِلا ضَجَرٍ أسِيرُ
بَل بإيمانٍ وَطِيد)
اِصغَ لِي عِندَ نِدَائِي
أسمِعَنِّي صَوتَكَ
صَوتُكَ الْحُلوُ عزائِي
أنتَ خِلِّي وَحدَكَ
لستُ مِن شرٍّ أخافُ
فاهدِني حيثُ تُرِيد
(بِلا ضَجَرٍ أسِيرُ
بَل بإيمانٍ وَطِيد)
لَيسَ مَن يُعزِّي قلبي
حِينَ تَهجُمُ الْخُطُوب
إلاَّ أنتَ يا حَبيبي
تَرثِي لِي وَقتَ الكُرُوب
لستُ مِن شرٍّ أخافُ
فاهدِني حيثُ تُرِيد
(بِلا ضَجَرٍ أسِيرُ
بَل بإيمانٍ وَطِيد)
سِر مَعي أيا حَبيبي
قَوِّ إيماني الضَّعيف
سَأراكَ عَن قَريبِ
بِجمالِكَ اللَّطِيف
لستُ مِن شرٍّ أخافُ
فاهدِني حيثُ تُرِيد
(بِلا ضَجَرٍ أسِيرُ
بَل بإيمانٍ وَطِيد)"
110,ليس لي هذا القرار,"110
مقام:
ميزان:
نظم: (8و7و9)
هل لقاء نحظى فيه
بعريسنا الحبيب
من حياة النفس فيه
وهو للقلب نعم النصيب
كيف لا والرب صرح
أننا معه نكون
في ديار المجد نفرح
بالفادي أيها المؤمنون
كلنا شكرا نؤدي
بل وترتيل السرور
حيث رب المجد يبدي
كل حب لدهر الدهور
كيف لا والرب صرح
أننا معه نكون
في ديار المجد نفرح
بالفادي أيها المؤمنون
عن قريب نحن نبصر
ما نرجوه بالعيان
إذ كتاب الحق يخبر
قائلا: إننا لا ندان
كيف لا والرب صرح
أننا معه نكون
في ديار المجد نفرح
بالفادي أيها المؤمنون
الكلمات:
الناظم:
اللحن:"
111,ما دمنا هنا في العبور,"111
مقام:
ميزان:
نظم: (8)
ما دمنا هنا في العبور
فنحن في وادي الدموع
لكن ينبوع السرور
قد صار لنا في يسوع
ما دمنا هنا في الطريق
قد يسمح لنا بضيق
وإنما لنا صديق
وهو لنا نعم الرفيق
لكن أيام العنا
ستنتهي عما قريب
موتى وأحيا كلنا
يجمعنا ذاك الحبيب
هناك محفل عجيب
فيه نحيط بالحبيب
هناك قلبنا يطيب
إذ نحظى بذاك النصيب
فأسرعن بالحضور
يا أيها الرب الغفور
فنحظى بملء السرور
معك إلى دهر الدهور
الكلمات:
الناظم:
اللحن:"
112,أنت فادينا الأمين,"112
مقام:
ميزان:
نظم: (8و7)
أنت فادينا الأمين
حبك للمنتهى
أنت كنزنا الثمين
والنصيب المشتهى
قد أكملت كل شيء
ومضيت للعلا
وأعطيت لنا وعدا
أن تأتينا عاجلا
فها نحن الآن نرجو
أن نراك يا حبيب
ملقاك للنفس يحلو
يفرح القلب الكئيب
تنتهي عما قريب
كل أيام السفر
وكذا رجا الغريب
يتحقق للنظر
قد دنا اليوم زمان
من قديم ينتظر
كل بار سيلاقي
في الهوا رب البشر
الكلمات:
الناظم:
اللحن:"
113,أنجز يا رب قصدك بي,"113
مقام:
ميزان:
نظم: (9)
أنجز يا ربي قصدك بي
خزف إني بين يديك
كيف حياتي كما تشاء
أودعت كل قلبي لديك
أنجز يا ربي قصدك بي
فإن قلبي واه جريح
كل آمالي فيك ربي
فأنت نعم الخل الصحيح
أنجز يا ربي قصدك بي
أنت لقلبي خير مريح
املأ حياتي بروحك
كي يتجلى في المسيح
الكلمات:
الناظم:
اللحن:"
114,ما أعجب الحب الذي,"114
مقام:
ميزان:
نظم: (8و6)
ما أعجب الحب الذي
أظهرت يا يسوع
إذ جئت في أرض الشقا
والحزن والدموع
قد كنت في الجهاد
والآلام يا ابن الله
وقد نضحت عرقا
كالدم في الصلاه
ثم أخذت عنوة
لخارج الأسوار
فوق صليب قد رفعت
في وسط الأشرار
والله قد جعلك
ذبيحة الآثام
بدمك طهرتني
أعطيتني السلام
فيا له حبا بدا
يفضي إلى العجب
إذ قد شربت طائعا
عني كأس الغضب
فكيف أنسى حبك
إذ مت عن ذنبي
محتمل التعيير
والآلام والصلب
الكلمات:
الناظم:
اللحن:"
115,حولك نحن نجتمع,"115
مقام:
ميزان:
نظم: (8و6)
حولك نحن نجتمع
يا ربنا الحبيب
نذكر حبك الذي
بدا على الصليب
يا له حبا فائضا
من قلبك يجري
عنا حسبت مذنبا
مع أنك البري
وهكذا لأجلنا
قد مت باختيار
نعم وقد أوصيتنا
أن نصنع التذكار
يذكر حبك العظيم
قلبي وأفكاري
أنت الذي قلت اصنعوا
هذا لتذكاري
وأنت صاحب العشا
والسيد لنا
من يدك ننتظر
التوزيع كلنا
نذكر دوما حبك
نفرح أيضا فيك
ونخبر بموتك
هنا إلى مجيك
الكلمات:
الناظم:
اللحن:"
116,ها سبحي الفادي,"116
مقام:
ميزان:
نظم: (8و6)
يا نفسي دوما باركي
إلهنا العظيم
وكل ما في باطني
يبارك الكريم
ها سبحي الفادي
ها سبحي الفادي
ها سبحي الفادي
يا نفسي كل حين
للرب نفسي باركي
لا تنسي الإحسان
وسبحيه دائما
فإنه المنان
ها سبحي الفادي
ها سبحي الفادي
ها سبحي الفادي
يا نفسي كل حين
رحمته دائمة
للهر والأبد
على جميع الأتقيا
وخائفي الصمد
ها سبحي الفادي
ها سبحي الفادي
ها سبحي الفادي
يا نفسي كل حين
الكلمات:
الناظم:
اللحن:"
117,طبت نفساً يا يسوع,"117
مقام:
ميزان:
نظم: (8و7و5)
طبت نفسا يا يسوع
مذ تعرفت بك
كل أيامي هناء
تحت ظلك
إنك ربي حبيبي
بحر لطف زاخر
قد أعنتني وإني
فيك ظافر
جئتني أنعشت روحي
صرت أنت بهجتي
وأنال في مسيري
منك قوتي
يا بهاء مجد الله
ويا صورة العلي
قد خطاي واملأني
حقك الجلي
سر بوجهك أمامي
يا يسوع دائما
فيولي الليل حين
تبدو باسما
الكلمات:
الناظم:
اللحن:"
118,أي بهجة لنا,"118
مقام:
ميزان:
نظم: (7)
أي بهجة لنا
وسرور وعزا
بالذي عنا قضى
وارتقى إلى السما
منظر الرب البهي
به بهجة القلوب
غيره لا نشتهي
وبه النفس تطيب
فهو كنزنا الغني
وهو رأسنا الحبيب
وعن العالم قد
متنا معه بالصليب
وبه نطلب ما
فوق حيث قد جلس
نبتغي إرثا لنا
لا يشوبه دنس
فالذي في مجده
ببهاه نرتوي
تاركين ما ورا
إذ به لا ننغوي
كيف نبغي غيره
وهو غاية المنى
قلبنا يصبو له
حبه يحصرنا
الكلمات:
الناظم:
اللحن:"
119,هللويا الرب قام بعد إكمال,"119
مقام:
ميزان:
نظم: (7)
هللويا الرب قام
بعد إكمال العمل
بعد موت وآلام
فلنعظم الحمل
مات عنا وهو البار
ذلك الخل الودود
أبطل الموت أنار
الحياة والخلود
قام فادي المؤمنين
ظافرا معطي الحياه
قام حقا باليقين
فاتحا باب النجاه
وهو في عرش العلي
شافع في كل حين
واعد بأن يجي
لاختطاف المؤمنين
ذلك اليوم السعيد
بدء عرسنا المجيد
إذ نغني بالنشيد
لعريسنا الوحيد
فلنرنم بانتصار
وسرور وهتاف
ولنعش بالانتظار
لرجاء الاختطاف
الكلمات:
الناظم:
اللحن:"
120,الرب راعينا الأمين,"120
مقام:
ميزان:
نظم: (8و6)
الرب راعينا الأمين
وقلبه رقيق
وملجأ للمنسحق
في أزمنة الضيق
عيناه دائما على
عبيده الأبرار
من له يصرخون في
الليل وفي النهار
وأذنه تصغي إلى
صراخ خائفيه
حتى وإن تمهل
ينصف مختاريه
ينصفهم بسرعة
يجدد الآمال
أكثر مما نفتكر
أو يخطر بالبال
فجيد أن ننتظر
بالصبر والصلاه
ولنتوقع بسكوت
دوما خلاص الله
الكلمات:
الناظم:
اللحن:"
121,يسوع وحده حوى,"121
مقام:
ميزان:
نظم: (8)
يسوع وحده حوى
جميع أوصاف الكمال
وهو العجيب في البها
والعز أيضا والجلال
هذا هو رأس الجسد
وهو على الكل ارتفع
يسوع وحده له
السلطان أيضا قد دفع
فأي شخص يا ترى
نظير شخصه المنير
فما له بين الورى
أو في السماوات نظير
ليس لنا موسى إذا
ولا إيليا معه
لسنا نريد أن نرى
إلا يسوع وحده
الكلمات:
الناظم:
اللحن:"
122,باسمك نحن نجتمع,"122
مقام:
ميزان:
نظم: (8و6)
باسمك نحن نجتمع
يا رأسنا الوحيد
وأنت معنا حاضر
بشخصك المجيد
قد ارتفعت ريسا
علينا أجمعين
وأنت قائد لنا
بروحك المعين
أنت المعلم الوحيد
عليك نستند
وليس لنا غيرك
عليه نعتمد
حضورك في وسطنا
يبدد الهموم
كالشمس حين تشرق
فتنجلي الغيوم
وكل قلب جائع
يشبع من غناك
وكل ظام يرتوي
من نهر نعمتك
إن كان ذا سرورنا
أمامك هنا
فكم وكم سرورنا
لديك في السما
الكلمات:
الناظم:
اللحن:"
123,يا ليتني أقترب,"123
مقام: Eb
ميزان: 3/4
نظم: (8و6)
أشتاق أن أقترب
لسيدي القدير
وشوق قلبي أنني
في طرقه أسير
فهو السخي في العطا
كريم في التوزيع
ويصفح عن الخطا
بلطفه البديع
يا طيب ساعات بها
أخلو مع الحبيب
يجري حديثي معه
سرا ولا رقيب
من في السماء يا ترى
غير إلهي الحي
ومعه فوق الأرض لا
أريد أصلا شي
فحبه يجعلني
أحتقر الدنيا
مفضلا أن أرتقي
للراحة العليا
الكلمات:
الناظم:
اللحن:"
124,عني أنا نعم عني,"هل كل ذا عني أنا ..
قاسى المسيح ذا العنا
قد جاء من أوج السما ..
وذاق عني الألم
عني أنا .. نعم عني ..
حبه لي سام عجيب
أشدو له مرنما ..
إذ قد فداني بالصليب
هل عني رأسه حنى
وقاسى كل ذا الضنا
عني الفداء تمم
أعطى السلام منعما
عني أنا .. نعم عني ..
حبه لي سام عجيب
أشدو له مرنما ..
إذ قد فداني بالصليب"
125,سوف يمسح ربي الدموع,"سوف يمسح ربي الدموع
لا بكاء في تلك الربوع
في السماء مع يسوع
نفرح نهتف يا جموع
مجدا له .. سوف نراه
مجدا له .. سوف نراه
عن قريب .. عن قريب
عن قريب
سوف نحظى بذاك الحبيب
إذ نرى وجهه عن قريب
في السماء لي نصيب
مع الفادي يسوع الحبيب
مجدا له .. سوف نراه
مجدا له .. سوف نراه
عن قريب .. عن قريب
عن قريب
سوف نخطف على السحاب
وسنسمع صوت الترحاب
في السما في بيت الآب
سوف نلبس بيض الثياب
مجدا له .. سوف نراه
مجدا له .. سوف نراه
عن قريب .. عن قريب
عن قريب"
126,يرعاني راعي الأمين,"126
مقام: C
ميزان: 4/4
نظم: (8)
يرعاني راعي الأمين
بالحب واليد اليمين
يرشدني في كل حين
بالنور والحق الثمين
يقودني يقودني
بيده يمسكني
نعم هو يقودني
برأيه يرشدني
في شدة الحزن المذيب
وفي سروري العجيب
في النور والدجى الرهيب
يقودني الراعي الحبيب
يقودني يقودني
بيده يمسكني
نعم هو يقودني
برأيه يرشدني
احفظني ربي في حماك
لا أبتغي شخصا سواك
كل عزائي في رضاك
حتى أراك في سماك
يقودني يقودني
بيده يمسكني
نعم هو يقودني
برأيه يرشدني
إذ أكل رسالتي
وأظفر بالراحة
لن أخشى ظلمة الموت
أرقى للأبدية
يقودني يقودني
بيده يمسكني
نعم هو يقودني
برأيه يرشدني
الكلمات:
الناظم:
اللحن:"
127,أيها الاَب المبارك مصدر الحب,"127
مقام:
ميزان:
نظم: (8و7)
أيها الآب المبارك
مصدر الحب العجيب
قد بذلت ابنك عنا
فدية على الصليب
والروح المعزي أيضا
قد أعطيته لنا
وهو عربون الميراث
وبه ختمتنا
وفينا يمكث دوما
ليوم فدا الجسد
وبه نسجد لك
يا أبانا للأبد
أيها الآب المبارك
نحن بملء السرور
شاكرون فضل حبك
كل أجيال الدهور
الكلمات:
الناظم:
اللحن:"
128,إذ ننظر إليك في المجد,"128
مقام:
ميزان:
نظم: (12)
إِذْ نَنْظُرُ إِلَيْكَ فِي الْمَجْدِ الرَّفِيعْ
قُلُوبُنَا يَا رَبُّ تَجْثُو بِالْخُشُوعْ
هُنَاكَ نَقْرَأُ الرِّوَايَةَ الَّتِي
عَنِ الصَّلِيبِ تَحْكِي هَوْلَهُ الْمُرِيعْ
كُلُّ رُمُوزِ الْعَارِ فِي سَوَادِهِ
نَرَاهَا فَوْقَ رَأْسِكَ تَحَقَّقَتْ
وَكُلُّ آلامِكَ فِي أَعْمَاقِهَا
تُجِيبُ عَنْ أَمْجَادِكَ الَّتِي سَمَتْ
مُنْفَرِدًا فَوْقَ الصَّلِيبِ قَدْ تُرِكْتْ
وَلَمْ تَجِدْ حَوْلَكَ عَيْنًا أَشْفَقَتْ
وَالآنَ عَنْ يَمِينِ اللهِ قَدْ رُفِعْتْ
تُرَدِّدُ السَّمَاءُ مَدْحَ مَا فَعَلْتْ
فَهَلْ هُنَاكَ اللهُ قَدْ تَرَكَكَ
وَعَنْ صُرَاخِكَ بَعِيدًا قَدْ غَدَا
فَالآنَ فِي الْوَجْهِ الَّذِي قَدْ أُفْسِدَ
نَقْرَأُ مَجْدَ اللهِ فَائِقًا بَدَا
لِذَاكَ إِذْ نَنْظُرُهُ نَجْثُو لَكَ
مُبَارَكٌ أَنْتَ لِذَا نَحْمَدُكَ
وَحْدَكَ مُسْتَحِقٌ حَمَلٌ كَرِيمْ:
هَذَا مَدِيحُ الأرْضِ وَالسَّمَا لَكَ
الكلمات:
الناظم:
اللحن:"
129,قد بدا أمر عجيب بتجسد,"129
مقام:
ميزان:
نظم: (8و7)
قد بدا أمر عجيب
بتجسد الإله
يا لنعمة تجلت
بالصليب للخطاه
كان عدلا أن تدين
الكل إذ زغنا معا
لكن الحكم قبلت
أنت عنا أجمعا
معك بالروح جعلنا
واحدا ملئا لك
يا له سرا عظيما
نصبح جسدك
حسب قصد في الدهور
حكمة تنوعت
يا لنعمة تجلت
يا لحكمة سمت
فيعرف السلاطين
بنا والرؤسا
حكمة الله التي قد
أعلنت من السما
مستحق كل شكر
وسجود وثنا
وعبادة وحمد
للدهور ربنا
الكلمات:
الناظم:
اللحن:"
130,الرب ذو المجد الرفيع,"130
مقام:
ميزان:
نظم: (8)
الرب ذو المجد الرفيع
يهوه المسيح المنتظر
قد جاء كالعبد المطيع
يا عجبا من ذا الخبر
رجل أوجاع اختبر
حزنا وقد تذلل
لأن حزننا حمل
أوجاعنا تحمل
مجروح لأجل الخطا
مسحوق لأجل الآثام
بحبره صار الشفا
عليه تأديب السلام
فقد ضللنا كلنا
كغنم في طرقنا
والرب هكذا وضع
عليه كل إثمنا
هذا هو الراعي الذي
إستيقظ السيف عليه
ضربه كمذنب
مع أنه البار لديه
كنعجة أيضا حسب
كالشاة سيق ذا الذبيح
من أجل ذنبنا ضرب
حتى جميعا نستريح
فالله لم يشفق على
مسرة النفس الوحيد
بل سر أن يسحقه
بالحزن لأجل العبيد
ماذا نقول أو نجيب
إزاء هذا الاتضاع
فالشكر نهدي للحبيب
طول المدى بلا انقطاع
الكلمات:
الناظم:
اللحن:"
131,ما أعجب اتضاعك,"131
مقام:
ميزان:
نظم: (8و6)
ما أعجب اتضاعك
يا ربنا المجيد
إذ قد ظهرت بالجسد
في صورة العبيد
وأنت مخدوم من
الأملاك والجنود
نراك قد خدمتنا
في الأرض يا ودود
فالدمع قد سكبته
يا ربنا الحبيب
والدم قد سفكته
عنا على الصليب
والموت قد قبلته
يا رب ذا الإنعام
والخوف قد أبدلته
صلحا كذا سلام
ثم لتلاميذك
حضرت يا حنون
يديك قد أريتهم
وجنبك المطعون
ولم تزل تري
جراحك على الصليب
ونحن دوما نصنع
ذكراك يا حبيب
فالقلب مديون بأن
يشدو بخدمتك
والفم دوما يشكر
أفضال نعمتك
الكلمات:
الناظم:
اللحن:"
132,بحبه فداني ربي,"132
مقام: Cm
ميزان: 6/8
نظم: (12و9و10)
بحبه يسوع قد أنقذني
من حمأة الذنوب قد رفعني
إذ كنت في الشر غريقا هالكا
بلا رجا ودربي أمسى حالكا
بحبه فداني ربي
بحبه عفا عن ذنبي
بحبه قضى بالصلب
فلاسمه حمد من القلب
بحبه على صليب الجلجثه
قاسى لأجل نفسي الملوثه
وقد غدا طريقي للمجد العتيد
أيضا حباني العتق والعفو الأكيد
بحبه فداني ربي
بحبه عفا عن ذنبي
بحبه قضى بالصلب
فلاسمه حمد من القلب
بحبه مخاوفي تبددت
رحمته وسط الملمات بدت
وهو أمامي فاتح باب النعيم
كي أملك معه بمجد مستديم
بحبه فداني ربي
بحبه عفا عن ذنبي
بحبه قضى بالصلب
فلاسمه حمد من القلب
الكلمات:
الناظم:
اللحن:"
133,يا جميع المؤمنين احمدوه,"133
مقام:
ميزان:
نظم: (11و12)
يا مليك المجد في ملء الزمان
فيك بان الحب في أجلى بيان
كيف عشت كالفقير والمهان
ما لك قط مقر أو مكان
تصنع الخير وتظهر الحنان
يا جميع المؤمنين حمدوه
بابتهاج القلب دوما واعبدوه
واذكروا فضلا لربي رددوه
هاتفين كل حين مجدوه
بالمسيح يعظم انتصارنا
قد حملت ربنا العار المذيب
واحتملت غضب العدل الرهيب
يوم ذقت الموت عنا بالصليب
مظهرا حبا وعطفا يا حبيب
فاختطفت النفس من جوف اللهيب
يا جميع المؤمنين حمدوه
بابتهاج القلب دوما واعبدوه
واذكروا فضلا لربي رددوه
هاتفين كل حين مجدوه
بالمسيح يعظم انتصارنا
الكلمات:
الناظم:
اللحن:"
134,اتوق للمستك الشافية,"أتوق للمستك الشافيه
أتوق لبسمتك الهانيه
أتوق لنظرتك الحانيه
تريح بها روحيَ العانيه
فليس سواك يُروِّي الحياه
حبيبي يسوعُ هناءَ الحياه
حبيبي اغسل القلب مما به
يعيقه عن رؤية ربه
فإن اشتياقي إلهي أراك
بكل جلاءٍ يسوعي البهي
متى يا حبيبي وأنت الإله
تنيرُ الفؤادَ فأنت ضياه"
135,هل دمك الزكي,"135
مقام: Fm
ميزان: 6/8
نظم: (6و8)
هل دمك الزكي
أريق عن ذنبي
وعن آثامي هل
سحقت يا ربي
(يَا رَبُّ إِنَّنِي لَكَ
أُكَرِّسُ الْحَيَاه)
لأجلي هل شقيت
محتمل العذاب
وقلبك الرقيق
كالشمع عني ذاب
(يَا رَبُّ إِنَّنِي لَكَ
أُكَرِّسُ الْحَيَاه)
غدوت لي فداي
قداستي بري
أعطيتني الحياه
لأبد الدهر
(يَا رَبُّ إِنَّنِي لَكَ
أُكَرِّسُ الْحَيَاه)
يا صاحب الإحسان
لقد خلت يدي
ماذا أقدم
ماذا لك أهدي
(يَا رَبُّ إِنَّنِي لَكَ
أُكَرِّسُ الْحَيَاه)
الكلمات:
الناظم:
اللحن:"
136,يا وحيد الاَب حقاً,"136
مقام:
ميزان:
نظم: (8و7)
يا وحيد الآب حقا
أنت جئت من علاك
وأظهرت لنا حبا
لم يخبر به سواك
أنت جزت الموت وحدك
لنا أكملت الوعود
وأظهرت لنا مجدك
في القيام والصعود
شوكة الموت كسرت
منهيا هول الردى
والدينونة احتملت
ظافرا على العدى
في السماء قد دخلت
سابقا للمؤمنين
في الأعالي قد جلست
سيدا للعالمين
وستأتينا سريعا
لاختطاف القديسين
وسنفرح جميعا
أيها الفادي الأمين
الكلمات:
الناظم:
اللحن:"
137,في نعمة الاَب الغني,"137
مقام:
ميزان:
نظم: (8)
في نعمة الآب الغني
نفتخر ونستريح
فالآن لا دينونة
على الذين في المسيح
فكان عدلا أن ندان
وإنما الابن الحبيب
قد حمل الخطية
بموته على الصليب
إنساننا العتيق قد
صلب معه وانقضى
ففيه قد متنا إذا
حكما وشرعا في القضا
أيضا به روح الحياه
أعتقنا نحن العبيد
كي نحيا بالقداسة
حسب مقامنا الجديد
فطالما نحن هنا
نطلب عونا ومدد
والروح فينا وبه
نميت أعمال الجسد
فالرب يوما يقبل
من السماء بالجلال
أيضا نكون مثله
ونحظى بملء الكمال
الكلمات:
الناظم:
اللحن:"
138,الرب هو عزنا,"138
مقام:
ميزان:
نظم: (8و6)
الرب هو عزنا
فبه نشبع
وكل عز غيره
لا بد ينزع
فيا لغبطة لنا
بعزنا الممتاز
فمعه نلنا شركة
لنا بها امتياز
يا ليت به نقنع
نسعى بالإيمان
فلا نعود نخدع
بالبطل والعيان
إذ معه سوف نجلس
ونحظى بالكمال
ننظره مكللا
بالمجد والجلال
الكلمات:
الناظم:
اللحن:"
139,ها قد دنا يوم اللقا,"139
مقام:
ميزان:
نظم: (8)
ها قد دنا يوم اللقا
بكوكب الصبح المنير
فالآن هي ساعة
لنفتدي الوقت القصير
ولنصح بتعقل
للصلوات كل حين
ولنعبد الرب معا
بقوة الروح المعين
وقبل هذا فليكن
حب شديد في القلوب
فالحب يستر الخطا
ويصفح عن الذنوب
ومن له موهبة
يخدم بها كل حين
حتى نكون أمنا
كوكلاء صالحين
وكل من يكثر
في عمل الرب الثمين
فباطلا لا يتعب
في الرب يسوع الأمين
الكلمات:
الناظم:
اللحن:"
140,أنت يسوع ذو الجلال,"140
مقام:
ميزان:
نظم: (8)
أنت يسوع ذو الجلال
ومنك نرتجي النجاه
فهوذا سيل الضلال
قد بات يطمو كالمياه
إبليس خصم يخدع
يغربل على الدوام
وأنت لنا تشفع
تخلص إلى التمام
قد كنت قبلا عوننا
ولم تزل أيضا تعين
لذا إليك كلنا
ما زلنا دوما ناظرين
أنت المعلم الأمين
فيك لنا كل الآمال
منطقنا بالحق الثمين
واحفظنا من كل ضلال
أمسك بيدنا اليمين
يا أيها الرب الأمين
قدنا بروحك المعين
واذكر نفوس الساقطين
فانظر إلينا كلنا
وامنحنا نعمة السهر
حتى نكون أمنا
في كل مدة السفر
الكلمات:
الناظم:
اللحن:"
141,لنا السلام والثبات,"141
مقام:
ميزان:
نظم: (8و6)
لنا السلام والثبات
في الرب كل حين
ففي الحياة والممات
ملجأنا الأمين
منذ الوجود قد رعى
ولم يزل يرعى
عينه مستقرة
علينا بالرضى
عليه محمولون من
الرحم والبطن
كذا إلى الشيخوخة
والشيب يعتني
فالأم قد تنسى الرضيع
والرب لا ينسى
ومن عليه يعتمد
رجاه لا يخزى
والآب يعتني بنا
إذا فلا نفشل
ويعلم احتياجنا
من قبل أن نسأل
الكلمات:
الناظم:
اللحن:"
142,الاَن ربنا القدير,"142
مقام:
ميزان:
نظم: (8و6)
الآن ربنا القدير
أمامنا يسير
وتحت لوا حبه
جميعنا نسير
ما دمنا نسير هنا
فهو لنا رفيق
وروحه يقودنا
وراه في الطريق
وهو طعامنا الشهي
في مدة السير
والمن والصخر لنا
ما دمنا في القفر
فالآن يا شعب المسيح
سيروا إلى الأمام
سيروا بنا فنستريح
في موطن السلام
الكلمات:
الناظم:
اللحن:"
